Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.21.0.100-172.21.0.120-80-52918-6,172.21.0.120,52918,172.21.0.100,80,6,1/11/2022 16:09,110038164,35,25,1687,497,81,0,48.2,35.93032473,65,0,19.88,20.4416242,19.8476594,0.545265368,1865053.627,3929271.915,10008010,2,110038094,3236414.529,4750025.526,10008010,34,110038160,4584923.333,5091415.249,10008158,53,0,1,0,0,1120,800,0.318071465,0.227193903,0,81,36.86885246,33.27234858,1107.04918,0,0,0,1,1,0,0,0,0,37.48333333,48.2,19.88,0,0,0,0,0,0,35,1687,25,497,-1,501,23,0,264.6363636,81.53682938,366,152,10003178.27,2387.525794,10008010,10000723,Mal_Mod
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,22/11/2022 01:23:19 PM,110025139,24,26,504,898,126,16,21,22.40923723,458,16,34.53846154,86.72449747,12.74254241,0.454441598,2245411,4352704.855,11004051,7,110024911,4783691.783,5351886.928,11004051,132,110024999,4400999.96,5292696.669,11004506,33,0,0,0,0,192,208,0.218131967,0.236309631,16,458,27.80392157,63.56225912,4040.160784,0,0,0,0,0,0,0,0,1,28.36,21,34.53846154,0,0,0,0,0,0,24,504,26,898,-1,-1,24,0,348266.6,1100114.781,3479248,132,10654203.3,1099560.307,11004051,7524802,Mal_Mod2
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.120,8805,172.21.0.110,8805,17,1/11/2022 13:47,110013109,22,22,352,352,16,16,16,0,16,16,16,0,6.399237385,0.399952337,2558444.395,4702437.804,11001486,13,110012875,5238708.333,5630042.166,11001911,13,110013109,5238719.476,5629730.459,11001486,112,0,0,0,0,176,176,0.199976168,0.199976168,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,22,352,22,352,-1,-1,22,0,349.1,197.9688247,682,112,11000932.3,352.6959818,11001486,11000456,Mal_Mod
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,4/10/2022 20:56,119931880,1611,1611,29746,232216,21,16,18.46430788,2.500521399,276,16,144.1440099,130.0271128,2184.256596,26.86525051,37234.362,38475.53413,142242,7,119931547,74491.6441,15343.58152,142404,145,119931505,74491.61801,15357.21198,142589,72,0,0,0,0,12888,12888,13.43262525,13.43262525,16,276,81.28389699,111.3623459,12401.57208,0,0,0,0,0,0,0,0,1,81.30912477,18.46430788,144.1440099,0,0,0,0,0,0,1611,29746,1611,232216,-1,-1,1611,0,0,0,0,0,0,0,0,0,Mal_Estab
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,4/10/2022 19:28,119952755,1543,1543,28488,222288,21,16,18.46273493,2.500532662,276,16,144.0622165,130.0276984,2090.623096,25.72679552,38882.57861,40716.78876,130973,9,119952401,77790.14332,18493.43979,131314,38,119952417,77790.1537,18491.64309,131421,44,0,0,0,0,12344,12344,12.86339776,12.86339776,16,276,81.24133463,111.3392741,12396.43396,0,0,0,0,0,0,0,0,1,81.2676604,18.46273493,144.0622165,0,0,0,0,0,0,1543,28488,1543,222288,-1,-1,1543,0,0,0,0,0,0,0,0,0,Mal_Estab
172.21.0.100-172.21.0.120-80-36254-6,172.21.0.120,36254,172.21.0.100,80,6,13/10/2022 03:55:31 AM,110033174,35,25,1687,485,81,0,48.2,35.93032473,65,0,19.4,19.91230775,19.73950147,0.545290096,1864969.051,3928885.515,10004637,4,110033050,3236266.176,4749508.517,10004637,39,110033154,4584714.75,5090914.398,10004921,92,0,1,0,0,1120,800,0.318085889,0.227204207,0,81,36.67213115,33.2469153,1105.357377,0,0,0,1,1,0,0,0,0,37.28333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,661.3636364,245.5277063,1168,193,10002293.55,1566.606738,10004637,9999922,Mal_Del
172.21.0.100-172.21.0.120-80-36254-6,172.21.0.120,36254,172.21.0.100,80,6,13/10/2022 03:21:30 AM,110035616,35,25,1687,497,81,0,48.2,35.93032473,65,0,19.88,20.4416242,19.84811899,0.545277994,1865010.441,3929027.025,10006517,13,110035501,3236338.265,4749692.706,10006517,107,110035592,4584816.333,5091099.33,10006868,224,0,1,0,0,1120,800,0.31807883,0.227199164,0,81,36.86885246,33.27234858,1107.04918,0,0,0,1,1,0,0,0,0,37.48333333,48.2,19.88,0,0,0,0,0,0,35,1687,25,497,-1,501,23,0,548.2727273,63.02553595,680,501,10002628,1743.45433,10006517,9999366,Mal_Del
172.21.0.100-172.21.0.120-80-34460-6,172.21.0.120,34460,172.21.0.100,80,6,4/10/2022 22:10,110008710,35,25,1687,485,81,0,48.2,35.93032473,65,0,19.4,19.91230775,19.74389119,0.545411359,1864554.407,3928082.225,10000791,12,110008572,3235546.235,4748554.941,10000791,107,110008694,4583695.583,5089878.447,10001028,198,0,1,0,0,1120,800,0.318156626,0.227254733,0,81,36.67213115,33.2469153,1105.357377,0,0,0,1,1,0,0,0,0,37.28333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,525.4545455,44.13697687,582,454,10000215.27,351.8164552,10000791,9999728,Mal_Estab
172.21.0.110-172.21.0.111-2152-2152-17,172.21.0.111,2152,172.21.0.110,2152,17,4/10/2022 22:20,119188403,119,121,11900,12100,100,100,100,0,100,100,100,0,201.3618724,2.013618724,498696.2469,485422.5723,987070,14430,118170673,1001446.381,441.5087753,1002483,1000356,119188403,993236.6917,89909.22667,1005539,16633,0,0,0,0,952,968,0.998419284,1.01519944,100,100,100,0,0,0,0,0,0,0,0,0,0,1,100.4166667,100,100,0,0,0,0,0,0,119,11900,121,12100,-1,-1,119,0,0,0,0,0,0,0,0,0,Normal
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,13/10/2022 02:50:24 AM,110013528,21,23,336,368,16,16,16,0,16,16,16,0,6.399213013,0.399950813,2558454.14,4702407.311,11001478,40,110013100,5500655,5643137.746,11001594,91,110013488,5000613.091,5606684.776,11001689,61,0,0,0,0,168,184,0.190885615,0.209065198,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,21,336,23,368,-1,-1,21,0,434.9,73.30219036,523,271,11000887.3,356.0249835,11001478,11000353,Mal_Del
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,22/11/2022 02:11:43 PM,110014643,21,23,336,368,16,16,16,0,16,16,16,0,6.399148157,0.39994676,2558480.07,4702446.624,11001963,5,110014251,5500712.55,5643179.359,11001963,27,110014529,5000660.409,5606753.533,11002508,14,0,0,0,0,168,184,0.190883681,0.209063079,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,21,336,23,368,-1,-1,21,0,407.9,350.7067309,1303,79,11000983.8,509.5598973,11001963,11000087,Mal_Mod2
172.21.0.100-172.21.0.120-80-52918-6,172.21.0.120,52918,172.21.0.100,80,6,1/11/2022 16:11,110040019,35,25,1687,485,81,0,48.2,35.93032473,65,0,19.4,19.91230775,19.73827358,0.545256176,1865085.068,3929304.657,10007816,2,110039985,3236470.147,4750056.158,10007816,45,110040013,4585000.542,5091497.902,10007989,54,0,1,0,0,1120,800,0.318066103,0.227190073,0,81,36.67213115,33.2469153,1105.357377,0,0,0,1,1,0,0,0,0,37.28333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,313.3636364,143.1322974,593,162,10003277.55,2297.79065,10007816,10000473,Mal_Mod
151.101.241.63-172.21.0.120-443-41812-6,172.21.0.120,41812,151.101.241.63,443,6,4/10/2022 19:23,-109,0,2,0,0,0,0,0,0,0,0,0,0,0,-18348.62385,-109,0,-109,-109,0,0,0,0,0,-109,-109,0,-109,-109,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,293,0,0,0,0,0,0,0,0,0,0,Mal_Estab
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,22/11/2022 03:14:15 PM,110014338,21,23,336,368,16,16,16,0,16,16,16,0,6.399165898,0.399947869,2558472.977,4702427.178,11001975,16,110013502,5500675.1,5643222.087,11001975,38,110014299,5000649.955,5606625.298,11002181,16,0,0,0,0,168,184,0.19088421,0.209063659,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,21,336,23,368,-1,-1,21,0,459.9,243.1627027,836,139,11000941.8,477.426853,11001975,11000279,Mal_Mod2
172.21.0.100-172.21.0.120-80-36254-6,172.21.0.120,36254,172.21.0.100,80,6,13/10/2022 01:37:28 AM,110031786,35,25,1687,485,81,0,48.2,35.93032473,65,0,19.4,19.91230775,19.73975048,0.545296974,1864945.525,3928716.986,10005675,16,110031633,3236224.5,4749276.242,10005675,127,110031767,4584656.958,5090652.693,10006016,238,0,1,0,0,1120,800,0.318089902,0.227207073,0,81,36.67213115,33.2469153,1105.357377,0,0,0,1,1,0,0,0,0,37.28333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,910.0909091,862.8381603,3509,582,10001920.82,2256.757799,10005675,9997790,Mal_Del
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,1/11/2022 15:36,110010843,22,22,352,352,16,16,16,0,16,16,16,0,6.399369197,0.399960575,2558391.698,4702412.349,11001641,7,110010631,5238601.476,5629766.416,11001780,30,110010801,5238609.571,5629900.952,11001694,21,0,0,0,0,176,176,0.199980287,0.199980287,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,22,352,22,352,-1,-1,22,0,216.8,106.2374698,381,46,11000833.9,453.7947284,11001641,11000150,Mal_Mod
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,13/10/2022 03:36:47 AM,110010978,22,22,352,352,16,16,16,0,16,16,16,0,6.399361344,0.399960084,2558394.837,4702303.822,11001264,35,110010902,5238614.381,5629579.798,11001339,104,110010823,5238610.619,5629863.58,11001343,35,0,0,0,0,176,176,0.199980042,0.199980042,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,22,352,22,352,-1,-1,22,0,396.2,101.2091344,625,292,11000642.2,321.1295343,11001264,11000158,Mal_Del
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,4/10/2022 22:10,119979397,1627,1627,30047,234812,21,16,18.46773202,2.500560322,276,16,144.3220652,130.0291368,2207.537349,27.12132317,36882.69198,38198.8968,137933,1,119978951,73787.79274,15970.19363,138409,69,119978986,73787.81427,15970.10262,138353,43,0,0,0,0,13016,13016,13.56066159,13.56066159,16,276,81.4546851,111.459319,12423.1798,0,0,0,0,0,0,0,0,1,81.47971727,18.46773202,144.3220652,0,0,0,0,0,0,1627,30047,1627,234812,-1,-1,1627,0,0,0,0,0,0,0,0,0,Mal_Estab
172.21.0.100-172.21.0.120-80-34460-6,172.21.0.120,34460,172.21.0.100,80,6,4/10/2022 22:50,110008608,35,25,1687,485,81,0,48.2,35.93032473,65,0,19.4,19.91230775,19.74390949,0.545411864,1864552.678,3928063.175,10000550,13,110008509,3235544.382,4748527.332,10000550,97,110008592,4583691.333,5089859.971,10000809,185,0,1,0,0,1120,800,0.318156921,0.227254944,0,81,36.67213115,33.2469153,1105.357377,0,0,0,1,1,0,0,0,0,37.28333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,558.0909091,74.08165029,668,468,10000174.09,235.8170709,10000550,9999797,Mal_Estab
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,13/10/2022 02:00:43 AM,110014394,21,23,336,368,16,16,16,0,16,16,16,0,6.39916264,0.399947665,2558474.279,4702433.689,11001188,5,110013699,5500684.95,5643160.262,11001188,122,110014194,5000645.182,5606710.383,11001566,56,0,0,0,0,168,184,0.190884113,0.209063552,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,21,336,23,368,-1,-1,21,0,434,161.3119821,695,146,11000954.8,194.7401688,11001188,11000637,Mal_Del
172.21.0.100-172.21.0.120-80-34460-6,172.21.0.120,34460,172.21.0.100,80,6,4/10/2022 23:10,110010501,35,25,1687,485,81,0,48.2,35.93032473,65,0,19.4,19.91230775,19.74356975,0.545402479,1864584.763,3928140.474,10000584,4,110010369,3235599.088,4748623.836,10000584,41,110010487,4583770.292,5089949.279,10000912,93,0,1,0,0,1120,800,0.318151446,0.227251033,0,81,36.67213115,33.2469153,1105.357377,0,0,0,1,1,0,0,0,0,37.28333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,533,176.8739664,964,189,10000366.27,271.5993707,10000584,9999692,Mal_Estab
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,4/10/2022 21:54,119944984,1597,1597,29487,230172,21,16,18.46399499,2.500523719,276,16,144.1277395,130.0272334,2164.817497,26.62887512,37564.9809,38819.87036,148234,3,119944517,75153.20614,15844.5273,148687,78,119944602,75153.2594,15843.04848,148624,114,0,0,0,0,12776,12776,13.31443756,13.31443756,16,276,81.27543036,111.3577581,12400.55029,0,0,0,0,0,0,0,0,1,81.30087664,18.46399499,144.1277395,0,0,0,0,0,0,1597,29487,1597,230172,-1,-1,1597,0,0,0,0,0,0,0,0,0,Mal_Estab
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,13/10/2022 03:40:49 AM,110014612,21,23,336,368,16,16,16,0,16,16,16,0,6.39914996,0.399946873,2558479.349,4702374.893,11001596,38,110013900,5500695,5643044.388,11001596,246,110014501,5000659.136,5606715.764,11002170,78,0,0,0,0,168,184,0.190883735,0.209063138,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,21,336,23,368,-1,-1,21,0,552.2,145.9884318,785,246,11000854.3,547.923768,11001596,11000208,Mal_Del
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.120,8805,172.21.0.110,8805,17,1/11/2022 16:35,110015785,22,22,352,352,16,16,16,0,16,16,16,0,6.399081732,0.399942608,2558506.628,4702195.847,11002443,32,110015194,5238818.762,5629879.791,11002801,34,110015785,5238846.905,5629242.35,11002443,262,0,0,0,0,176,176,0.199971304,0.199971304,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,22,352,22,352,-1,-1,22,0,950.2,556.1518178,2205,262,11000560.1,821.8554144,11002443,10999257,Mal_Mod
172.21.0.100-172.21.0.120-80-52918-6,172.21.0.120,52918,172.21.0.100,80,6,22/11/2022 02:31:26 PM,110031745,35,25,1687,485,81,0,48.2,35.93032473,65,0,19.4,19.91230775,19.73975783,0.545297178,1864944.831,3928905.076,10008092,3,110031631,3236224.441,4749549.252,10008092,52,110031739,4584655.792,5091060.148,10008882,88,0,1,0,0,1120,800,0.31809002,0.227207157,0,81,36.67213115,33.2469153,1105.357377,0,0,0,1,1,0,0,0,0,37.28333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,547.6363636,512.8978988,1868,198,10002309.73,2174.833147,10008092,10000391,Mal_Mod2
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,13/10/2022 03:13:19 AM,110012680,21,23,336,368,16,16,16,0,16,16,16,0,6.39926234,0.399953896,2558434.419,4702363.765,11001207,19,110012244,5500612.2,5643081.931,11001359,145,110012585,5000572.045,5606618.478,11001330,42,0,0,0,0,168,184,0.190887087,0.209066809,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,21,336,23,368,-1,-1,21,0,451.8,125.544857,611,204,11000789.4,303.4029957,11001207,11000246,Mal_Del
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,4/10/2022 19:34,119993467,1586,1586,29286,228696,21,16,18.46532156,2.500547913,276,16,144.1967213,130.0284915,2149.967048,26.43477249,37840.89152,39805.641,143034,6,119993014,75705.37161,19067.70042,143473,49,119993097,75705.42397,19075.65897,143320,90,0,0,0,0,12688,12688,13.21738624,13.21738624,16,276,81.31043177,111.3774657,12404.93986,0,0,0,0,0,0,0,0,1,81.33606557,18.46532156,144.1967213,0,0,0,0,0,0,1586,29286,1586,228696,-1,-1,1586,0,0,0,0,0,0,0,0,0,Mal_Estab
172.21.0.100-172.21.0.120-80-52918-6,172.21.0.120,52918,172.21.0.100,80,6,1/11/2022 14:29,110036135,35,25,1687,485,81,0,48.2,35.93032473,65,0,19.4,19.91230775,19.73897029,0.545275422,1865019.237,3929184.485,10007567,1,110035991,3236352.676,4749917.691,10007567,46,110036131,4584838.792,5091294.183,10007687,57,0,1,0,0,1120,800,0.31807733,0.227198093,0,81,36.67213115,33.2469153,1105.357377,0,0,0,1,1,0,0,0,0,37.28333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,300.8181818,149.0179977,601,171,10002962.91,1818.838555,10007567,10001072,Mal_Mod
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,4/10/2022 20:00,119967087,1590,1590,29360,229280,21,16,18.46540881,2.500547138,276,16,144.2012579,130.0284512,2155.92465,26.50727028,37737.36615,39372.28275,149992,4,119966714,75498.2467,17314.94483,150391,104,119966917,75498.37445,17314.78696,150317,56,0,0,0,0,12720,12720,13.25363514,13.25363514,16,276,81.39453002,111.4261888,12415.79555,0,0,0,0,0,0,0,0,1,81.42012579,18.46540881,144.2012579,0,0,0,0,0,0,1590,29360,1590,229280,-1,-1,1590,0,0,0,0,0,0,0,0,0,Mal_Estab
