c_ip,c_port,c_pkts_all,c_rst_cnt,c_ack_cnt,c_ack_cnt_p,c_bytes_uniq,c_pkts_data,c_bytes_all,c_pkts_retx,c_bytes_retx,c_pkts_ooo,c_syn_cnt,c_fin_cnt,s_ip,s_port,s_pkts_all,s_rst_cnt,s_ack_cnt,s_ack_cnt_p,s_bytes_uniq,s_pkts_data,s_bytes_all,s_pkts_retx,s_bytes_retx,s_pkts_ooo,s_syn_cnt,s_fin_cnt,first,last,durat,c_first,s_first,c_last,s_last,c_first_ack,s_first_ack,c_isint,s_isint,c_iscrypto,s_iscrypto,con_t,p2p_t,http_t,c_rtt_avg,c_rtt_min,c_rtt_max,c_rtt_std,c_rtt_cnt,c_ttl_min,c_ttl_max,s_rtt_avg,s_rtt_min,s_rtt_max,s_rtt_std,s_rtt_cnt,s_ttl_min,s_ttl_max,p2p_st,ed2k_data,ed2k_sig,ed2k_c2s,ed2k_c2c,ed2k_chat,c_f1323_opt,c_tm_opt,c_win_scl,c_sack_opt,c_sack_cnt,c_mss,c_mss_max,c_mss_min,c_win_max,c_win_min,c_win_0,c_cwin_max,c_cwin_min,c_cwin_ini,c_pkts_rto,c_pkts_fs,c_pkts_reor,c_pkts_dup,c_pkts_unk,c_pkts_fc,c_pkts_unrto,c_pkts_unfs,c_syn_retx,s_f1323_opt,s_tm_opt,s_win_scl,s_sack_opt,s_sack_cnt,s_mss,s_mss_max,s_mss_min,s_win_max,s_win_min,s_win_0,s_cwin_max,s_cwin_min,s_cwin_ini,s_pkts_rto,s_pkts_fs,s_pkts_reor,s_pkts_dup,s_pkts_unk,s_pkts_fc,s_pkts_unrto,s_pkts_unfs,s_syn_retx,http_req_cnt,http_res_cnt,http_res,c_pkts_push,s_pkts_push,c_tls_SNI,s_tls_SCN,c_npnalpn,s_npnalpn,c_tls_sesid,c_last_handshakeT,s_last_handshakeT,c_appdataT,s_appdataT,c_appdataB,s_appdataB,fqdn,dns_rslv,req_tm,res_tm,Label
192.168.21.225,35284,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,105.883,2.3,53.063,2.3,53.063,0.088,2.428,1,1,0,0,1,0,1,0.165661,0.082,0.287,0.107565,3,64,64,0.011,0.006,0.016,0.005,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35404,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,49.037,34.392,42.062,34.392,42.062,0.158,34.496,1,1,0,0,1,0,1,0.61298,0.104,1.588,0.844648,3,64,64,0.008,0.005,0.011,0.003,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35418,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,42.393,4.881,6.725,4.881,6.725,0.1,4.967,1,1,0,0,1,0,1,0.29099,0.086,0.697,0.351612,3,64,64,0.008333,0.004,0.011,0.003786,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35214,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,123.654,7.055,70.245,7.055,70.245,0.824,7.112,1,1,0,0,1,0,1,2.258258,0.057,5.945,3.212755,3,64,64,0.021999,0.006,0.051,0.025159,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35604,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,23.777,0.677,23.077,0.677,23.077,0.121,0.77,1,1,0,0,1,0,1,0.155328,0.093,0.261,0.092002,3,64,64,0.009333,0.008,0.011,0.001528,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35556,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,33.692,15.205,32.004,15.205,32.004,0.108,15.309,1,1,0,0,1,0,1,0.524983,0.094,1.377,0.737871,3,64,64,0.009,0.005,0.014,0.004583,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35480,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,49.336,20.74,34.596,20.74,34.596,0.133,20.844,1,1,0,0,1,0,1,1.375954,0.104,3.91,2.194514,3,64,64,0.012666,0.007,0.019,0.006028,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35486,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,48.665,10.206,12.102,10.206,12.102,0.12,10.298,1,1,0,0,1,0,1,0.144662,0.092,0.232,0.076166,3,64,64,0.009,0.008,0.01,0.001,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35580,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,43.196,15.342,29.464,15.342,29.464,0.124,15.454,1,1,0,0,1,0,1,0.957968,0.106,2.656,1.470514,3,64,64,0.015,0.005,0.022,0.008888,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35668,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,26.569,10.152,15.935,10.152,15.935,0.102,10.301,1,1,0,0,1,0,1,0.188327,0.093,0.323,0.119939,3,64,64,0.009333,0.005,0.014,0.004509,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35644,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,38.191,9.629,12.57,9.629,12.57,0.097,9.739,1,1,0,0,1,0,1,0.266658,0.088,0.602,0.290615,3,64,64,0.007333,0.005,0.009,0.002082,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35494,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,60.582,15.505,60.171,15.505,60.171,0.112,15.584,1,1,0,0,1,0,1,0.11033,0.079,0.152,0.037581,3,64,64,0.007333,0.004,0.012,0.004163,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35466,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,71.651,15.946,20.19,15.946,20.19,0.093,16.054,1,1,0,0,1,0,1,0.126996,0.085,0.188,0.054065,3,64,64,0.008333,0.007,0.01,0.001528,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35790,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,26.958,16.089,21.24,16.089,21.24,0.129,16.187,1,1,0,0,1,0,1,0.136995,0.098,0.199,0.054286,3,64,64,0.012333,0.006,0.016,0.005508,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35736,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,40.484,21.054,24.764,21.054,24.764,0.063,21.15,1,1,0,0,1,0,1,0.10833,0.057,0.172,0.058484,3,64,64,0.008,0.006,0.012,0.003464,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35764,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,40.033,5.847,9.464,5.847,9.464,0.091,5.928,1,1,0,0,1,0,1,0.09633,0.081,0.126,0.025697,3,64,64,0.007,0.005,0.009,0.002,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35532,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,73.537,11.291,16.955,11.291,16.955,0.519,11.379,1,1,0,0,1,0,1,0.289657,0.088,0.503,0.207746,3,64,64,0.01,0.005,0.016,0.005568,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35650,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,52.167,31.491,36.556,31.491,36.556,0.125,31.599,1,1,0,0,1,0,1,0.115329,0.108,0.128,0.011015,3,64,64,0.008666,0.003,0.015,0.006028,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35706,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,51.759,0.789,20.232,0.789,20.232,0.083,0.861,1,1,0,0,1,0,1,0.114663,0.072,0.197,0.071319,3,64,64,0.007666,0.007,0.008,0.000577,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
