 Bidirectional_traffic_counter, Downlink_counter, PFCPAssociationReleaseRequest_counter, PFCPAssociationReleaseResponse_counter, PFCPAssociationSetupRequest_counter, PFCPAssociationSetupResponse_counter, PFCPAssociationUpdateRequest_counter, PFCPAssociationUpdateResponse_counter, PFCPHeartbeatRequest_counter, PFCPHeartbeatResponse_counter, PFCPNodeReportRequest_counter, PFCPNodeReportResponse_counter, PFCPPFDManagementRequest_counter, PFCPPFDManagementResponse_counter, PFCPSessionDeletionRequest_counter, PFCPSessionDeletionResponse_counter, PFCPSessionEstablishmentRequest_counter, PFCPSessionEstablishmentResponse_counter, PFCPSessionModificationRequest_counter, PFCPSessionModificationResponse_counter, PFCPSessionReportRequest_counter, PFCPSessionSetDeletionRequest_counter, PFCPSessionSetDeletionResponse_counter, PFCPVersionNotSupportedResponse_counter, Uplink_counter, bwd_packets, duration, fwd_packets,PFCPSessionReportResponse_counter,Label
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110011622,22,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110019177,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110014005,22,0,Mal_Del
0,0,0,0,0,0,0,0,798,798,0,0,0,0,0,0,777,776,0,0,0,0,0,0,0,1575,116128438,1574,0,Mal_Estab
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110013601,22,0,Mal_Del
0,0,0,0,0,0,0,0,816,815,0,0,0,0,0,0,792,792,0,0,0,0,0,0,0,1608,119962482,1607,0,Mal_Estab
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013954,21,0,Mal_Del
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,0,0,0,0,0,0,1,119842694,1031,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013029,22,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013842,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110016757,21,0,Mal_Mod2
0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,22,119912414,1048,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013137,22,0,Mal_Del
0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99011498,20,0,Mal_Del
0,0,0,0,0,0,0,0,821,820,0,0,0,0,0,0,798,798,0,0,0,0,0,0,0,1619,119957250,1618,0,Mal_Estab
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110018541,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110015977,21,0,Mal_Mod
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012707,22,0,Mal_Mod
0,0,0,0,0,0,0,0,826,825,0,0,0,0,0,0,803,803,0,0,0,0,0,0,0,1630,119936352,1627,0,Mal_Estab
0,0,0,0,0,0,0,0,805,805,0,0,0,0,0,0,784,783,0,0,0,0,0,0,0,1589,119938887,1588,0,Mal_Estab
0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99013008,20,0,Mal_Del
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110014811,21,0,Mal_Mod
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,710,119964742,709,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013814,21,0,Mal_Mod2
0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,1034,1033,0,0,0,0,0,1055,119947960,1054,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110011912,21,0,Mal_Mod2
0,0,0,0,0,0,0,0,818,818,0,0,0,0,0,0,797,796,0,0,0,0,0,0,0,1615,119947037,1614,0,Mal_Estab
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,913,912,0,0,0,0,0,935,119863887,934,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110013085,21,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110015154,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110016033,21,0,Mal_Mod
0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99016106,20,0,Mal_Mod2
0,0,0,0,0,0,0,0,830,829,0,0,0,0,0,0,806,806,0,0,0,0,0,0,0,1636,119900861,1635,0,Mal_Estab
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110014420,22,0,Mal_Del
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,913,912,0,0,0,0,0,935,119863887,934,0,Normal
0,0,0,0,0,0,0,0,819,819,0,0,0,0,0,0,799,798,0,0,0,0,0,0,0,1618,119910055,1617,0,Mal_Estab
0,0,0,0,0,0,0,0,819,819,0,0,0,0,0,0,799,798,0,0,0,0,0,0,0,1618,119923993,1617,0,Mal_Estab
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012381,22,0,Mal_Del
0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,471,2,0,Mal_Mod
0,0,0,0,0,0,0,0,811,810,0,0,0,0,0,0,788,788,0,0,0,0,0,0,0,1600,119974810,1597,0,Mal_Estab
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110017046,21,0,Mal_Mod
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,0,0,0,0,0,0,1,119823548,1044,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110014880,21,0,Mal_Mod
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110015640,22,0,Mal_Mod
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,23,119855405,705,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110013029,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110016806,21,0,Mal_Mod2
0,0,0,0,0,0,0,0,828,828,0,0,0,0,0,0,808,807,0,0,0,0,0,0,0,1636,119909139,1635,0,Mal_Estab
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110011564,22,0,Mal_Del
0,0,0,0,0,0,0,0,816,816,0,0,0,0,0,0,795,794,0,0,0,0,0,0,0,1611,119863949,1610,0,Mal_Estab
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012382,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110015263,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110014303,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013224,22,0,Mal_Del
0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99010187,20,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110012842,21,0,Mal_Del
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,686,0,0,0,0,0,0,0,0,0,709,119808888,708,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110010731,22,0,Mal_Mod
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,910,0,0,0,0,0,23,119887961,931,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110013241,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110014589,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110014042,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,825,825,0,0,0,0,0,0,804,803,0,0,0,0,0,0,0,1629,119937907,1628,0,Mal_Estab
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,0,0,0,0,0,0,1,119952781,1021,0,Normal
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,23,119852590,644,0,Normal
0,0,0,0,0,0,0,0,833,833,0,0,0,0,0,0,813,812,0,0,0,0,0,0,0,1646,119842864,1645,0,Mal_Estab
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,0,23,119874923,1063,0,Normal
0,0,0,0,0,0,0,0,827,826,0,0,0,0,0,0,804,804,0,0,0,0,0,0,0,1631,119899752,1630,0,Mal_Estab
0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99013943,20,0,Mal_Mod
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110011363,21,0,Mal_Mod
0,0,0,0,0,0,0,0,820,819,0,0,0,0,0,0,796,796,0,0,0,0,0,0,0,1616,119928060,1615,0,Mal_Estab
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,0,0,0,0,0,0,1,119811347,1060,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110016899,22,0,Mal_Mod
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,0,0,0,1,119771990,923,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012178,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99012503,20,0,Mal_Del
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012643,22,0,Mal_Del
0,0,0,0,0,0,0,0,821,821,0,0,0,0,0,0,800,799,0,0,0,0,0,0,0,1621,119869795,1620,0,Mal_Estab
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013341,22,0,Mal_Del
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110028171,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110012722,21,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012816,21,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012459,22,0,Mal_Del
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,0,0,1,119899705,1056,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110011445,22,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110060283,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013781,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013010,21,0,Normal
0,0,0,0,0,0,0,0,820,819,0,0,0,0,0,0,796,796,0,0,0,0,0,0,0,1616,119856637,1615,0,Mal_Estab
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,0,0,1,119899705,1056,0,Normal
0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,703,119876634,702,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110016700,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110019047,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,1022,0,0,0,0,0,23,119854611,1043,0,Normal
0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99011464,20,0,Mal_Mod2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,1,119888895,1019,0,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119727601,689,0,Normal
0,0,0,0,0,0,0,0,819,819,0,0,0,0,0,0,799,798,0,0,0,0,0,0,0,1618,119914093,1617,0,Mal_Estab
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012129,21,0,Mal_Del
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013037,22,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013464,22,0,Mal_Del
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110016907,22,0,Mal_Mod
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,706,119916281,705,0,Normal
0,0,0,0,0,0,0,0,783,782,0,0,0,0,0,0,759,759,0,0,0,0,0,0,0,1542,119855367,1541,0,Mal_Estab
0,0,0,0,0,0,0,0,813,813,0,0,0,0,0,0,793,792,0,0,0,0,0,0,0,1606,119948932,1605,0,Mal_Estab
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,0,0,0,0,0,0,1,119939740,1055,0,Normal
0,0,0,0,0,0,0,0,816,816,0,0,0,0,0,0,796,795,0,0,0,0,0,0,0,1612,119958071,1611,0,Mal_Estab
0,0,0,0,0,0,0,0,814,814,0,0,0,0,0,0,793,792,0,0,0,0,0,0,0,1607,119900821,1606,0,Mal_Estab
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110011370,22,0,Mal_Del
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,924,923,0,0,0,0,0,946,119867460,945,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110013062,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110015982,21,0,Mal_Mod2
0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99014625,20,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110019375,21,0,Mal_Mod
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012127,22,0,Mal_Del
0,0,0,0,0,0,0,0,810,810,0,0,0,0,0,0,789,788,0,0,0,0,0,0,0,1599,119921303,1598,0,Mal_Estab
0,0,0,0,0,0,0,0,825,824,0,0,0,0,0,0,802,802,0,0,0,0,0,0,0,1628,119975663,1625,0,Mal_Estab
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110017160,22,0,Mal_Mod
0,0,0,0,0,0,0,0,824,824,0,0,0,0,0,0,803,802,0,0,0,0,0,0,0,1627,119977638,1626,0,Mal_Estab
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110015234,21,0,Mal_Mod
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,1023,0,0,0,0,0,23,119887182,1044,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110014015,22,0,Mal_Del
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110013617,22,0,Mal_Del
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012702,21,0,Mal_Del
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110011053,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110014766,21,0,Mal_Mod
0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99013962,20,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110015222,21,0,Mal_Mod
0,0,0,0,0,0,0,0,824,824,0,0,0,0,0,0,803,802,0,0,0,0,0,0,0,1627,119928130,1626,0,Mal_Estab
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110014681,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110015943,22,0,Mal_Mod
0,0,0,0,0,0,0,0,806,805,0,0,0,0,0,0,782,782,0,0,0,0,0,0,0,1588,119915073,1587,0,Mal_Estab
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,624,0,0,0,0,0,0,0,0,0,23,119636357,645,0,Normal
0,0,0,0,0,0,0,0,818,818,0,0,0,0,0,0,798,797,0,0,0,0,0,0,0,1616,119894735,1615,0,Mal_Estab
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110021053,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,823,823,0,0,0,0,0,0,802,801,0,0,0,0,0,0,0,1625,119962200,1624,0,Mal_Estab
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013860,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110015562,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110014007,21,0,Mal_Del
0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99010318,20,0,Mal_Mod
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110017315,22,0,Mal_Mod
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0,708,119876091,707,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013648,21,0,Mal_Del
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,1024,1023,0,0,0,0,0,1046,119860542,1045,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110015559,22,0,Mal_Mod
0,0,0,0,0,0,0,0,824,823,0,0,0,0,0,0,800,800,0,0,0,0,0,0,0,1624,119932289,1623,0,Mal_Estab
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110018035,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012822,22,0,Mal_Del
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013060,21,0,Mal_Del
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110011763,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110016834,21,0,Mal_Mod2
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,938,937,0,0,0,0,0,960,119893914,959,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013651,22,0,Mal_Del
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110016332,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,99010781,20,0,Mal_Del
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012034,22,0,Mal_Del
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012752,22,0,Mal_Del
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012607,22,0,Mal_Del
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110014497,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012902,22,0,Mal_Del
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013184,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013506,22,0,Mal_Del
0,0,0,0,0,0,0,0,822,822,0,0,0,0,0,0,801,800,0,0,0,0,0,0,0,1623,119880410,1622,0,Mal_Estab
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,1,119877089,1037,0,Normal
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013139,21,0,Mal_Del
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013771,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110015020,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110010888,22,0,Mal_Del
0,0,0,0,0,0,0,0,817,817,0,0,0,0,0,0,796,795,0,0,0,0,0,0,0,1613,119883471,1612,0,Mal_Estab
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110012637,22,0,Mal_Del
0,0,0,0,0,0,0,0,771,771,0,0,0,0,0,0,750,749,0,0,0,0,0,0,0,1521,119911566,1520,0,Mal_Estab
